2026/09/21 20:03:12.741, 67.95 W, 600.00 W, 2542 MHz, 50, 31642 MiB
2026/09/21 20:03:13.741, 67.03 W, 600.00 W, 2542 MHz, 50, 31642 MiB
2026/09/21 20:03:14.742, 141.12 W, 600.00 W, 2542 MHz, 63, 31642 MiB
2026/09/21 20:03:15.742, 552.56 W, 600.00 W, 2767 MHz, 57, 31642 MiB
2026/09/21 20:03:16.743, 363.36 W, 600.00 W, 2887 MHz, 57, 31642 MiB
2026/09/21 20:03:17.744, 363.89 W, 600.00 W, 2887 MHz, 57, 31642 MiB
2026/09/21 20:03:18.745, 355.17 W, 600.00 W, 2887 MHz, 57, 31642 MiB
2026/09/21 20:03:19.746, 576.47 W, 600.00 W, 2737 MHz, 60, 31642 MiB
2026/09/21 20:03:20.747, 367.41 W, 600.00 W, 2887 MHz, 58, 31642 MiB
2026/09/21 20:03:21.748, 366.20 W, 600.00 W, 2887 MHz, 58, 31642 MiB
2026/09/21 20:03:22.749, 366.67 W, 600.00 W, 2887 MHz, 58, 31642 MiB
2026/09/21 20:03:23.750, 366.60 W, 600.00 W, 2887 MHz, 58, 31642 MiB
2026/09/21 20:03:24.751, 230.07 W, 600.00 W, 2887 MHz, 53, 31642 MiB
2026/09/21 20:03:25.752, 95.32 W, 600.00 W, 2887 MHz, 53, 31642 MiB
2026/09/21 20:03:26.752, 76.64 W, 600.00 W, 2542 MHz, 52, 31642 MiB
2026/09/21 20:03:27.753, 70.66 W, 600.00 W, 2542 MHz, 52, 31642 MiB
2026/09/21 20:03:28.753, 69.62 W, 600.00 W, 2542 MHz, 52, 31642 MiB
2026/09/21 20:03:29.754, 69.69 W, 600.00 W, 2542 MHz, 51, 31642 MiB
2026/09/21 20:03:30.754, 69.46 W, 600.00 W, 2542 MHz, 51, 31642 MiB
2026/09/21 20:03:31.755, 69.80 W, 600.00 W, 2542 MHz, 51, 31642 MiB
2026/09/21 20:03:32.755, 69.74 W, 600.00 W, 2542 MHz, 51, 31642 MiB
2026/09/21 20:03:33.756, 70.03 W, 600.00 W, 2542 MHz, 51, 31642 MiB
2026/09/21 20:03:34.757, 69.77 W, 600.00 W, 2542 MHz, 51, 31642 MiB
2026/09/21 20:03:35.757, 68.83 W, 600.00 W, 2542 MHz, 51, 31642 MiB
2026/09/21 20:03:36.757, 68.32 W, 600.00 W, 2542 MHz, 51, 31642 MiB
2026/09/21 20:03:37.758, 68.55 W, 600.00 W, 2542 MHz, 51, 31642 MiB
2026/09/21 20:03:38.758, 78.46 W, 600.00 W, 2542 MHz, 51, 31642 MiB
2026/09/21 20:03:39.759, 68.62 W, 600.00 W, 2542 MHz, 50, 31642 MiB
2026/09/21 20:03:40.759, 69.08 W, 600.00 W, 2542 MHz, 50, 31642 MiB
2026/09/21 20:03:41.760, 314.74 W, 600.00 W, 2782 MHz, 65, 31642 MiB
2026/09/21 20:03:42.761, 602.72 W, 600.00 W, 2730 MHz, 67, 31702 MiB
2026/09/21 20:03:43.761, 599.66 W, 600.00 W, 2745 MHz, 68, 31742 MiB
2026/09/21 20:03:44.762, 600.62 W, 600.00 W, 2760 MHz, 66, 31742 MiB
2026/09/21 20:03:45.763, 598.92 W, 600.00 W, 2760 MHz, 67, 31742 MiB
2026/09/21 20:03:46.763, 600.71 W, 600.00 W, 2730 MHz, 69, 31742 MiB
2026/09/21 20:03:47.764, 551.13 W, 600.00 W, 2812 MHz, 61, 31742 MiB
2026/09/21 20:03:48.765, 445.66 W, 600.00 W, 2872 MHz, 62, 31742 MiB
2026/09/21 20:03:49.766, 444.99 W, 600.00 W, 2872 MHz, 62, 31742 MiB
2026/09/21 20:03:50.767, 446.34 W, 600.00 W, 2872 MHz, 62, 31742 MiB
2026/09/21 20:03:51.768, 412.21 W, 600.00 W, 2880 MHz, 60, 31742 MiB
2026/09/21 20:03:52.769, 397.82 W, 600.00 W, 2887 MHz, 61, 31742 MiB
2026/09/21 20:03:53.770, 376.69 W, 600.00 W, 2887 MHz, 60, 31742 MiB
2026/09/21 20:03:54.771, 371.66 W, 600.00 W, 2887 MHz, 60, 31742 MiB
2026/09/21 20:03:55.772, 371.67 W, 600.00 W, 2887 MHz, 60, 31742 MiB
2026/09/21 20:03:56.773, 371.78 W, 600.00 W, 2887 MHz, 60, 31742 MiB
2026/09/21 20:03:57.774, 371.04 W, 600.00 W, 2887 MHz, 60, 31742 MiB
2026/09/21 20:03:58.775, 236.15 W, 600.00 W, 2887 MHz, 55, 31742 MiB
2026/09/21 20:03:59.776, 97.33 W, 600.00 W, 2887 MHz, 55, 31742 MiB
2026/09/21 20:04:00.776, 83.08 W, 600.00 W, 2542 MHz, 54, 31742 MiB
2026/09/21 20:04:01.777, 73.46 W, 600.00 W, 2542 MHz, 53, 31742 MiB
2026/09/21 20:04:02.777, 73.20 W, 600.00 W, 2542 MHz, 53, 31742 MiB
2026/09/21 20:04:03.778, 72.97 W, 600.00 W, 2542 MHz, 53, 31742 MiB
2026/09/21 20:04:04.778, 72.62 W, 600.00 W, 2542 MHz, 53, 31742 MiB
2026/09/21 20:04:05.779, 71.71 W, 600.00 W, 2542 MHz, 53, 31742 MiB
2026/09/21 20:04:06.779, 70.65 W, 600.00 W, 2542 MHz, 52, 31742 MiB
2026/09/21 20:04:07.780, 70.36 W, 600.00 W, 2542 MHz, 52, 31742 MiB
2026/09/21 20:04:08.780, 70.67 W, 600.00 W, 2542 MHz, 52, 31742 MiB
2026/09/21 20:04:09.781, 70.01 W, 600.00 W, 2542 MHz, 52, 31742 MiB
2026/09/21 20:04:10.781, 70.27 W, 600.00 W, 2542 MHz, 52, 31742 MiB
2026/09/21 20:04:11.782, 69.74 W, 600.00 W, 2542 MHz, 52, 31742 MiB
2026/09/21 20:04:12.782, 69.16 W, 600.00 W, 2542 MHz, 52, 31742 MiB
2026/09/21 20:04:13.783, 68.71 W, 600.00 W, 2542 MHz, 51, 31742 MiB
2026/09/21 20:04:14.783, 69.07 W, 600.00 W, 2542 MHz, 51, 31742 MiB
2026/09/21 20:04:15.876, 520.69 W, 600.00 W, 2730 MHz, 66, 31742 MiB
2026/09/21 20:04:16.877, 502.55 W, 600.00 W, 2887 MHz, 59, 31742 MiB
2026/09/21 20:04:17.878, 372.84 W, 600.00 W, 2887 MHz, 59, 31742 MiB
2026/09/21 20:04:18.879, 373.17 W, 600.00 W, 2887 MHz, 59, 31742 MiB
2026/09/21 20:04:19.880, 339.72 W, 600.00 W, 2887 MHz, 59, 31742 MiB
2026/09/21 20:04:20.880, 384.73 W, 600.00 W, 2887 MHz, 66, 31742 MiB
2026/09/21 20:04:21.881, 602.77 W, 600.00 W, 2752 MHz, 69, 31742 MiB
2026/09/21 20:04:22.882, 453.61 W, 600.00 W, 2887 MHz, 60, 31742 MiB
2026/09/21 20:04:23.883, 373.62 W, 600.00 W, 2887 MHz, 60, 31742 MiB
2026/09/21 20:04:24.884, 374.24 W, 600.00 W, 2887 MHz, 60, 31742 MiB
2026/09/21 20:04:25.885, 274.18 W, 600.00 W, 2887 MHz, 55, 31742 MiB
2026/09/21 20:04:26.886, 96.90 W, 600.00 W, 2887 MHz, 54, 31742 MiB
2026/09/21 20:04:27.886, 84.07 W, 600.00 W, 2542 MHz, 53, 31742 MiB
2026/09/21 20:04:28.887, 72.76 W, 600.00 W, 2542 MHz, 53, 31742 MiB
2026/09/21 20:04:29.887, 71.92 W, 600.00 W, 2542 MHz, 53, 31742 MiB
2026/09/21 20:04:30.888, 71.61 W, 600.00 W, 2542 MHz, 53, 31742 MiB
2026/09/21 20:04:31.888, 71.19 W, 600.00 W, 2542 MHz, 52, 31742 MiB
2026/09/21 20:04:32.889, 71.16 W, 600.00 W, 2542 MHz, 52, 31742 MiB
2026/09/21 20:04:33.889, 70.32 W, 600.00 W, 2542 MHz, 52, 31742 MiB
