2026/09/22 08:22:56.719, 599.61 W, 2610 MHz
2026/09/22 08:22:57.720, 600.81 W, 2610 MHz
2026/09/22 08:22:58.720, 598.08 W, 2610 MHz
2026/09/22 08:22:59.720, 600.13 W, 2610 MHz
2026/09/22 08:23:00.720, 602.09 W, 2610 MHz
2026/09/22 08:23:01.720, 598.58 W, 2610 MHz
2026/09/22 08:23:02.720, 597.83 W, 2617 MHz
2026/09/22 08:23:03.721, 598.78 W, 2610 MHz
2026/09/22 08:23:04.721, 600.96 W, 2602 MHz
2026/09/22 08:23:05.721, 598.55 W, 2587 MHz
2026/09/22 08:23:06.721, 604.60 W, 2632 MHz
2026/09/22 08:23:07.721, 601.16 W, 2610 MHz
2026/09/22 08:23:08.721, 600.45 W, 2632 MHz
2026/09/22 08:23:09.721, 601.78 W, 2632 MHz
2026/09/22 08:23:10.721, 591.91 W, 2595 MHz
2026/09/22 08:23:11.722, 607.02 W, 2617 MHz
2026/09/22 08:23:12.722, 595.70 W, 2617 MHz
2026/09/22 08:23:13.722, 600.59 W, 2610 MHz
2026/09/22 08:23:14.722, 593.99 W, 2580 MHz
2026/09/22 08:23:15.722, 604.57 W, 2572 MHz
2026/09/22 08:23:16.723, 594.51 W, 2580 MHz
2026/09/22 08:23:17.723, 599.18 W, 2595 MHz
2026/09/22 08:23:18.723, 599.68 W, 2580 MHz
2026/09/22 08:23:19.723, 543.27 W, 2812 MHz
2026/09/22 08:23:20.723, 486.43 W, 2820 MHz
2026/09/22 08:23:21.723, 485.71 W, 2820 MHz
2026/09/22 08:23:22.724, 479.92 W, 2827 MHz
2026/09/22 08:23:23.724, 263.60 W, 2880 MHz
2026/09/22 08:23:24.724, 106.52 W, 2880 MHz
2026/09/22 08:23:25.724, 132.40 W, 2617 MHz
2026/09/22 08:23:26.724, 605.95 W, 2692 MHz
2026/09/22 08:23:27.725, 600.19 W, 2677 MHz
2026/09/22 08:23:28.725, 600.73 W, 2677 MHz
2026/09/22 08:23:29.725, 599.30 W, 2662 MHz
2026/09/22 08:23:30.725, 600.66 W, 2632 MHz
2026/09/22 08:23:31.725, 599.24 W, 2640 MHz
2026/09/22 08:23:32.726, 599.56 W, 2625 MHz
2026/09/22 08:23:33.726, 600.89 W, 2670 MHz
2026/09/22 08:23:34.726, 599.90 W, 2602 MHz
2026/09/22 08:23:35.726, 600.05 W, 2662 MHz
2026/09/22 08:23:36.726, 597.47 W, 2602 MHz
2026/09/22 08:23:37.727, 600.82 W, 2610 MHz
2026/09/22 08:23:38.727, 600.73 W, 2632 MHz
2026/09/22 08:23:39.727, 602.09 W, 2655 MHz
2026/09/22 08:23:40.727, 595.53 W, 2610 MHz
2026/09/22 08:23:41.727, 601.12 W, 2602 MHz
2026/09/22 08:23:42.728, 594.08 W, 2580 MHz
2026/09/22 08:23:43.728, 596.38 W, 2595 MHz
2026/09/22 08:23:44.728, 599.70 W, 2610 MHz
2026/09/22 08:23:45.728, 594.82 W, 2587 MHz
2026/09/22 08:23:46.728, 602.24 W, 2610 MHz
2026/09/22 08:23:47.729, 600.60 W, 2610 MHz
2026/09/22 08:23:48.729, 595.25 W, 2580 MHz
